DrugID,DrugName
0,(+)-Mefloquine
1,(+)-menthol
2,"(1,2,6,7-3H)Testosterone"
3,"(1R,2S)-2-Phenylcyclopropanaminium"
4,"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile"
5,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine"
6,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium
7,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE"
8,(6R)-Folinic acid
9,"(6S)-5,6,7,8-tetrahydrofolic acid"
10,(R)-Atenolol
12,(R)-Fluoxetine
13,(R)-Gossypol
14,(R)-Praziquantel
15,(R)-Propafenone
16,(R)-Rolipram
17,(R)-etodolac
18,(R)-warfarin
19,(S)-Indapamide
20,(S)-econazole
21,"1,10-Phenanthroline"
22,"1,2-Benzodiazepine"
23,"1,6-Fructose Diphosphate (Linear Form)"
24,1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine
25,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE"
26,1-Testosterone
27,1-benzylimidazole
28,1-deoxymannojirimycin
29,10-hydroxycamptothecin
30,16-Bromoepiandrosterone
31,17alpha-Estriol
32,18-methyl-19-nortestosterone
33,19-norandrostenedione
34,"1alpha,24S-Dihydroxyvitamin D2"
35,1alpha-Hydroxyvitamin D5
36,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium"
37,"2,4-thiazolidinedione"
38,"2,5-Dimethoxy-4-ethylamphetamine"
39,"2,5-Dimethoxy-4-ethylthioamphetamine"
40,2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide
41,2-Fluoroadenosine
